,UID,UIN,Name,HW,Quiz,E1,E2,E3,E4
233,tgiepxpwg@school.edu,1441331476,Gekkqe Rnjzdoa,76.875,76.4,71.0,51.0,55.0,89.0
234,xyecbmbg@school.edu,9486058581,Wyxailysva Fzfwqynddp,76.125,82.2,74.0,84.0,76.0,87.0
235,hyavu@school.edu,9615792820,Rdlrte Veigtc,87.625,80.8,79.0,62.0,61.0,56.0
236,adgzmrwigtups@school.edu,7500997562,Ahhbohvmtu Ojxxn,77.75,75.4,84.0,71.0,61.0,57.0
237,bnbbzmp@school.edu,7586135659,Uidmazr Ilrcybj,79.75,86.8,68.0,77.0,78.0,64.0
238,qqzxqocgemv@school.edu,1922185759,Ovbzzk Idfhq,78.75,74.6,72.0,50.0,65.0,64.0
239,csdbxf@school.edu,1622983839,Cwulm Tarbnj,89.375,80.6,91.0,54.0,77.0,93.0
240,uumlmoumwmebr@school.edu,5129104612,Ffzkxovenq Azgjlxaavs,74.5,90.4,58.0,77.0,73.0,80.0
241,qwbgsgaddmaf@school.edu,4092052779,Qlmxbixa Ltxggwdr,80.5,84.6,64.0,89.0,67.0,69.0
242,ymecrbtud@school.edu,4691590872,Mppgltqe Tgtoneapp,78.0,80.2,63.0,79.0,90.0,97.0
243,zvkoghs@school.edu,2847661292,Acyxbyq Sipkohucz,78.25,77.8,92.0,98.0,99.0,66.0
244,ffcqnvmmjdakv@school.edu,1236095766,Nmtjc Luzceb,83.25,75.2,94.0,82.0,99.0,60.0
245,ndxde@school.edu,1803159941,Foggksio Xawvuvymj,84.0,77.2,65.0,57.0,97.0,58.0
246,jarechjiqhv@school.edu,2584124840,Nlpdgrzih Sgckz,75.875,69.6,54.0,86.0,94.0,80.0
247,phwqnbcc@school.edu,4482068504,Ysxdjzawm Rwqrdvbnmp,71.875,70.6,78.0,80.0,70.0,68.0
248,wlhlg@school.edu,2164213951,Oekjlxxsi Gyffgon,81.75,91.2,86.0,86.0,55.0,68.0
249,ocayf@school.edu,5163800788,Zqlpbd Hvruba,85.125,82.2,82.0,78.0,66.0,69.0
250,tfepdpw@school.edu,7563948088,Ctglxtxqm Tgenmndxv,77.75,75.6,54.0,50.0,99.0,56.0
251,dybqpddihdxjh@school.edu,1058702021,Acbpe Zenwwoyk,74.375,84.6,80.0,69.0,72.0,72.0
252,johwynwl@school.edu,7001827588,Ojqpiuz Ytizxslx,78.0,82.0,95.0,80.0,88.0,64.0
253,bltnlbdjmzjr@school.edu,8921733891,Ubyafhn Wbgphx,83.625,83.2,69.0,93.0,60.0,72.0
254,dentrr@school.edu,9184375449,Qwrazxo Xaswfhpyji,80.5,79.0,54.0,96.0,71.0,77.0
255,mfsgz@school.edu,4285973397,Ekhhxcb Nmacx,78.5,75.6,55.0,50.0,66.0,75.0
256,mwtvybsxfitl@school.edu,9236006156,Uwkcbu Qxztplr,69.5,81.4,58.0,77.0,86.0,90.0
257,rkbfc@school.edu,4247773339,Wtlmwttge Rgtkshl,81.625,79.4,98.0,75.0,62.0,50.0
258,jwwwwpy@school.edu,7449928772,Yqnbtjc Tzmjk,86.75,74.6,78.0,100.0,74.0,83.0
259,vxfognuurbssp@school.edu,1271458515,Qomdghsxk Kbbeydfde,70.125,75.4,89.0,87.0,83.0,71.0
260,indboao@school.edu,6272142821,Rwzpfhmo Nckaah,68.375,89.0,80.0,57.0,79.0,79.0
261,wtwzr@school.edu,6453147746,Qpolkerui Pwqsoptw,79.875,73.8,89.0,56.0,63.0,86.0
262,hbvcmx@school.edu,8043458650,Btcoz Pflfc,71.75,82.4,78.0,71.0,70.0,56.0
263,eojyuwum@school.edu,6080208657,Ymxbueda Ysgrkig,81.5,84.4,100.0,92.0,89.0,53.0
264,jloyzqevs@school.edu,2758163455,Kjdbdyi Vamjmtucim,75.25,84.6,58.0,97.0,98.0,87.0
265,mrxjtctfywm@school.edu,1448352587,Lsaiopmpsx Gfxvtycac,75.5,77.4,53.0,56.0,92.0,57.0
266,hqogeyrlom@school.edu,3065767486,Ttanfbwgef Dqiyiz,80.0,76.2,96.0,82.0,50.0,66.0
267,psarh@school.edu,3774821269,Rwtzmmlpk Oxtsawe,79.375,81.0,75.0,94.0,71.0,94.0
268,ghiffvckofj@school.edu,2502939050,Bxueox Astxsokbxx,73.625,70.6,77.0,85.0,86.0,99.0
269,usgbdsjcoodoc@school.edu,1516243958,Animbuk Dbngegngcp,82.25,75.6,64.0,99.0,87.0,69.0
270,urtuuzmwnslai@school.edu,8288304373,Irkvecpiqw Efbtdwefl,78.875,81.4,91.0,51.0,64.0,52.0
271,vdwextewxbero@school.edu,6528622386,Yyhpvezisv Msddhqw,81.375,77.2,67.0,84.0,68.0,85.0
272,tkkxrhtzds@school.edu,1439079821,Ireneta Bjktvc,78.75,79.8,95.0,89.0,59.0,90.0
273,dvgkpvutb@school.edu,9036513862,Ywuunlzyp Sbluh,79.0,83.2,96.0,58.0,72.0,64.0
274,gvhyomredduig@school.edu,1608641390,Nibwodx Vileflanu,80.625,84.8,96.0,62.0,58.0,86.0
275,orsyywvpv@school.edu,3191595283,Onslh Xqpltcj,87.125,84.2,98.0,88.0,97.0,70.0
276,ivnfqraieom@school.edu,4045790475,Bopbxs Sldwmgl,81.125,80.6,61.0,77.0,57.0,72.0
277,kxkiwudzs@school.edu,8621742228,Dexzbydc Qekbn,84.75,85.6,74.0,50.0,65.0,76.0
278,vqpufmr@school.edu,8208647133,Isgch Drhjofsyr,77.5,74.0,61.0,70.0,68.0,67.0
279,ljorvbuuf@school.edu,4618405034,Oovaazr Kfsnxtglb,81.25,94.0,73.0,51.0,81.0,91.0
280,xxtfkbksiea@school.edu,6050610870,Ezzmtggcnc Rjzmlb,76.0,84.0,75.0,89.0,64.0,60.0
281,hiwveswdcs@school.edu,3508480642,Mcygpvqihc Nlosrvovuu,81.375,85.8,64.0,58.0,95.0,72.0
282,teiqv@school.edu,4721917700,Gzgmpzuwr Lutpo,68.125,71.6,73.0,99.0,73.0,97.0
283,fifphuwgqd@school.edu,4080635665,Hvjybcgxcj Ivzmx,85.0,72.2,93.0,68.0,63.0,84.0
284,pdhnrgy@school.edu,3775234680,Fjpcjwuvcq Wehlt,75.875,88.2,84.0,96.0,80.0,67.0
285,zfclmapswpwgj@school.edu,2206188491,Hncbh Tmeruiodpl,84.25,86.0,100.0,63.0,59.0,58.0
286,ybxrstowdzh@school.edu,5854699202,Eeonkvxlij Kynuvhsugq,82.625,87.8,59.0,78.0,85.0,87.0
287,urvojmscf@school.edu,4710013365,Ysyprwwd Othjuiswij,74.875,68.0,77.0,68.0,73.0,92.0
288,fbroduisx@school.edu,3415155056,Vxsxe Covpnl,76.875,70.4,80.0,63.0,53.0,71.0
289,yyrqru@school.edu,7603548282,Tlypdbspzd Zsbkecvb,78.875,68.0,64.0,99.0,68.0,61.0
290,kcfjidcleax@school.edu,3711729540,Umrcawxck Xoeuc,79.0,75.4,93.0,86.0,62.0,100.0
291,cznmkylyjp@school.edu,3302505259,Ocwyluak Emikpoadfu,85.625,89.2,94.0,83.0,74.0,100.0
292,zdlutvfs@school.edu,8033419451,Uqymrau Rupoa,67.75,73.4,66.0,82.0,50.0,82.0
293,qoiogv@school.edu,8711804748,Fsurhydmk Nwldx,71.875,76.2,98.0,94.0,70.0,86.0
294,bgrdswotlkhq@school.edu,5201854753,Tvktrwrpb Geksp,76.125,83.0,92.0,67.0,93.0,59.0
295,ykyllwwwhrs@school.edu,1542839275,Etjus Rysmzbvcnw,80.0,82.0,52.0,56.0,91.0,61.0
296,qelarwco@school.edu,6128275489,Bgdugqdv Fbnodgxld,78.375,75.0,58.0,72.0,85.0,98.0
297,vysulneamuuh@school.edu,2477152185,Asgfh Ybmjjjq,84.0,77.2,64.0,69.0,65.0,51.0
298,cdgzkgjzjdh@school.edu,2742055448,Kypsb Rinqj,77.625,83.4,68.0,77.0,87.0,73.0
299,kdrswtdea@school.edu,4860551830,Svwtftsxpl Pltdiaby,79.875,78.8,51.0,51.0,59.0,82.0
300,qsudpaaf@school.edu,8927184021,Urtayj Rrtbdyyan,79.625,76.0,65.0,57.0,86.0,86.0
301,bscwdhbqz@school.edu,5967321633,Yvnozm Dcbruzkky,88.125,76.8,63.0,52.0,76.0,70.0
302,stcndeclb@school.edu,8973808019,Pvoxrhct Ocrnp,85.375,84.8,64.0,75.0,89.0,73.0
303,ydrrjmlebc@school.edu,6452763172,Zykbqrnrc Yjmwjhqsj,69.625,69.2,54.0,57.0,63.0,99.0
304,xildnkmdtouhh@school.edu,9191014162,Dvxks Kgubixzqtl,82.375,79.8,62.0,52.0,60.0,86.0
305,qxvaax@school.edu,8770463567,Juklen Tbhyycxj,85.25,77.2,65.0,99.0,86.0,81.0
306,wrtvofomtd@school.edu,2797880739,Qhbhyqortp Ijhhaac,90.25,82.2,99.0,78.0,54.0,50.0
307,ijqgctzps@school.edu,7660636742,Amupf Iuzdd,90.625,72.4,90.0,63.0,88.0,82.0
308,zzzjhwtx@school.edu,3727031896,Oaelmh Mspfsrrb,80.875,90.8,65.0,56.0,78.0,52.0
309,rgceocyv@school.edu,5460244389,Srxbukdbvn Qxqblxkarh,78.125,69.0,53.0,73.0,76.0,87.0
310,ysviwokyklxyx@school.edu,2571691519,Tywgv Wnsdhx,81.5,85.4,86.0,77.0,94.0,89.0
311,acnbj@school.edu,2436838587,Tgznjkwgpg Xroidgncfb,79.75,88.4,51.0,81.0,88.0,99.0
312,cptgnlevckl@school.edu,4111039856,Xgdnlejox Tdiund,75.875,73.8,54.0,78.0,74.0,80.0
313,vwfkfu@school.edu,9057590146,Fdmlzk Mgziyybvt,79.125,86.4,89.0,70.0,79.0,95.0
314,qgvlmdsjhr@school.edu,8523297616,Igowy Maxbz,88.25,86.6,65.0,83.0,81.0,87.0
315,novtbhnoedern@school.edu,8654191837,Jdtlfbngcn Txvbfrlksj,84.5,64.2,53.0,84.0,85.0,55.0
316,xyvql@school.edu,6286143687,Tcatrpeto Baulczx,82.75,77.6,71.0,86.0,87.0,100.0
317,gbiftuk@school.edu,7613727697,Olzry Bipsk,91.625,68.6,94.0,64.0,66.0,54.0
318,igqfqhahamlv@school.edu,5206343196,Adcazgevn Blgwiyzsvw,70.125,79.0,98.0,55.0,89.0,57.0
319,wtkjqurz@school.edu,1797897696,Evedsljiws Nfoyptpjon,77.5,75.2,91.0,90.0,91.0,86.0
320,scxhkovq@school.edu,7698867947,Ihggcv Dmnxtv,79.75,73.2,94.0,54.0,82.0,85.0
321,gwztcup@school.edu,8973193688,Yyrjybekp Zepvfh,87.75,67.0,71.0,87.0,80.0,55.0
322,dmint@school.edu,7843642297,Uhtns Dtyegxiu,76.625,87.6,78.0,84.0,60.0,83.0
323,usrvdh@school.edu,8469338891,Hdlfbyiwn Qoydr,79.375,76.6,77.0,59.0,77.0,56.0
324,okaum@school.edu,8126629819,Eaoiscb Djccl,90.375,68.0,97.0,92.0,66.0,100.0
325,xboqizopezj@school.edu,2952422339,Lbjql Ejliu,80.25,76.6,87.0,93.0,53.0,73.0
326,oouwu@school.edu,9947151379,Arlqxpf Tlwqtt,84.25,83.4,70.0,72.0,76.0,67.0
327,qwxjvttbcqnww@school.edu,4842251406,Frtfbf Utoamjsaaw,80.25,83.6,65.0,54.0,62.0,77.0
328,napcgsjxp@school.edu,4123734029,Ozvorn Uyfzbah,75.75,80.4,84.0,73.0,53.0,54.0
329,mttuspxwxj@school.edu,4507339229,Mlgcvnl Hhtwykzees,84.75,77.4,90.0,62.0,50.0,77.0
330,uiikagteksj@school.edu,4360696805,Icujseywve Fpncbdrw,76.625,75.0,75.0,54.0,54.0,87.0
331,neacayeeku@school.edu,1619150239,Tlaqv Liimorkaw,77.5,82.2,62.0,82.0,68.0,65.0
332,xdjhzam@school.edu,1980590144,Jrcrg Srxbezkhch,87.75,81.4,76.0,76.0,76.0,67.0
333,pgrwugzatjys@school.edu,7096180190,Tbcxlbg Axaqtw,80.875,73.6,52.0,66.0,88.0,59.0
334,agvnbdg@school.edu,7292031738,Gdggm Anuqstnwp,76.75,82.6,83.0,62.0,64.0,61.0
335,esfaviohns@school.edu,1610555534,Bimsaf Hfevftykp,83.5,73.4,53.0,81.0,66.0,61.0
336,kgjptkgzwf@school.edu,6428660926,Wzecagareb Fkbpqazel,78.125,75.2,72.0,73.0,91.0,66.0
337,xziacwygahk@school.edu,9652475528,Rsefd Ogmbabhwge,90.125,74.6,86.0,92.0,55.0,93.0
338,bjtqidhoijrc@school.edu,3103184056,Qqrirhhae Ufenrcrxhv,85.0,83.0,62.0,57.0,58.0,68.0
339,cscmhpwudj@school.edu,9041620631,Aeokhmgkd Qplfpstwp,81.875,73.6,53.0,86.0,78.0,74.0
340,nkgwxjy@school.edu,9925627242,Eazccmjw Kkybzmo,77.0,87.8,85.0,56.0,95.0,56.0
341,yktqzpzawj@school.edu,8684630040,Vzejqkkthc Pdkqwpn,81.875,78.6,90.0,50.0,88.0,99.0
342,nozqtfk@school.edu,8298571279,Eyrxolb Vxmuqsuzgf,79.875,75.4,52.0,53.0,81.0,69.0
343,bakrogjj@school.edu,6477498354,Fdvyhdmopt Ynmpaa,85.125,75.0,91.0,100.0,90.0,98.0
344,tbautsokmgd@school.edu,8291014110,Uvwzxpk Botsh,86.25,83.8,56.0,64.0,83.0,59.0
345,zaxfwzdqde@school.edu,8072317686,Jibddou Exlgv,77.5,67.0,95.0,51.0,83.0,71.0
346,ngjvetovdg@school.edu,1345984804,Iotab Cwbywmpt,78.5,68.4,99.0,70.0,100.0,94.0
347,sbiuvtbk@school.edu,2727001983,Qgtsyvrjt Eizucxit,75.875,77.0,99.0,95.0,85.0,91.0
348,tfywcxitwwr@school.edu,6167256568,Cqlaomo Qjahbwcrm,87.125,72.2,92.0,100.0,59.0,81.0
349,yydhyzacm@school.edu,8530881417,Gobeukx Jwmswzkj,84.875,75.8,57.0,88.0,51.0,88.0
350,wkqggm@school.edu,2314742036,Aviwhmcyc Gkbhpqwwv,69.25,88.0,66.0,93.0,60.0,95.0
351,bwjrwql@school.edu,7642732110,Boxgtult Tfasd,72.5,82.2,86.0,56.0,50.0,80.0
352,ycyfsrcwc@school.edu,1261079199,Lmspo Ivbvf,81.125,82.8,93.0,51.0,52.0,84.0
353,sxhtp@school.edu,7197083614,Uhamammq Aicdzit,72.75,71.0,70.0,96.0,78.0,61.0
354,niqqwamwwzjap@school.edu,6967969752,Iyouewv Wrpjamco,82.5,84.8,97.0,53.0,61.0,60.0
355,pcwapcnd@school.edu,9036310786,Lrxjfncb Pnlkjmj,71.375,63.6,100.0,69.0,90.0,51.0
356,nhjzv@school.edu,1262799918,Nzdphbvtw Mqdruioj,75.0,86.8,99.0,56.0,61.0,64.0
357,tidmambixm@school.edu,6308113935,Ldhzjplnp Wmppjndrt,88.375,77.6,65.0,89.0,59.0,57.0
358,fpautf@school.edu,2290532281,Sneagxnbv Kheykddf,78.25,86.6,97.0,97.0,90.0,75.0
359,iryctz@school.edu,9350069648,Gtzrr Sybnel,80.875,77.8,61.0,80.0,77.0,77.0
360,dneqel@school.edu,2849184486,Gtxitfmh Wafsfmmlj,78.5,70.6,53.0,56.0,96.0,52.0
361,pwfhmvzz@school.edu,7526208751,Nbqadtn Ctxnewxnmg,79.125,86.2,73.0,63.0,86.0,65.0
362,zggliizmdg@school.edu,6288346519,Hcymvfuxw Vzurtqo,78.375,83.8,73.0,76.0,77.0,66.0
363,vemtvol@school.edu,2496433708,Mziiiplcw Nlmicywbwc,78.0,75.6,50.0,83.0,72.0,54.0
364,ftfnpg@school.edu,4154181574,Dfyfwsfi Sauthzupdw,83.5,83.6,83.0,54.0,60.0,70.0
365,peqixhzpm@school.edu,8052368445,Chdlgim Nwjrxb,82.375,76.6,64.0,89.0,65.0,70.0
366,guyedfwmkvxho@school.edu,9427203822,Tdrvtmax Hbcjhp,77.875,79.2,79.0,87.0,63.0,93.0
367,pmpuwywyy@school.edu,2513511095,Swnlau Kgybmkpyvx,79.75,86.8,90.0,77.0,100.0,54.0
368,fivvzsyubifu@school.edu,5549381608,Hjdpain Rnjdkdd,80.375,87.2,71.0,52.0,71.0,52.0
369,jpjdiaapi@school.edu,9662423547,Ivktusih Mdwrx,80.25,78.2,73.0,94.0,83.0,58.0
370,dzlmlhfqi@school.edu,3680535627,Czxplku Rlfgmgs,72.5,85.2,75.0,63.0,62.0,51.0
371,gysfxvvlvroa@school.edu,2965702667,Zavpbvzz Qirppqgvn,81.875,85.4,76.0,53.0,57.0,60.0
372,sxxsiwmhv@school.edu,8289747096,Cqugzlxuov Qfvwv,70.875,75.6,84.0,55.0,64.0,58.0
373,cmdkvfcvo@school.edu,3659627462,Gdhmly Jihnkdme,73.375,73.8,75.0,89.0,65.0,82.0
374,xunhqirmmyq@school.edu,6625985475,Tsarfkslrl Pnyfb,74.125,71.8,91.0,60.0,75.0,54.0
375,wewxfgo@school.edu,3246463460,Rmdow Rpuvyxgvts,83.625,71.0,65.0,52.0,50.0,61.0
376,aiqmdx@school.edu,5642215037,Vsbhvjxq Dcdlxsxvse,78.25,80.2,84.0,90.0,52.0,97.0
377,quxzatdp@school.edu,6462855281,Wtptmh Saojakekfm,76.75,79.0,89.0,72.0,65.0,55.0
378,gahgx@school.edu,3459236157,Vovwieiyfs Hqphd,79.625,82.0,84.0,52.0,76.0,89.0
379,ligwzg@school.edu,9633421738,Arhlegcgo Ckbllpxmrx,86.375,69.0,99.0,72.0,56.0,86.0
380,jbwlwlms@school.edu,5103672493,Hutvnygj Slqumciem,84.5,81.4,97.0,57.0,74.0,91.0
381,whdce@school.edu,7231130462,Wrqoedwczx Smwmfh,86.875,82.4,80.0,88.0,91.0,58.0
382,uhisjsmicbnk@school.edu,2907821812,Mdqdyb Xxyismueu,72.125,75.0,75.0,54.0,88.0,50.0
383,qguexlvyaap@school.edu,5463769530,Ctvlxpfmas Synjdqbbk,84.375,70.6,84.0,95.0,63.0,98.0
384,zhyjr@school.edu,7770711597,Jqtvvli Uvqartw,73.875,80.0,65.0,66.0,96.0,85.0
385,cszbippmuiw@school.edu,5158746706,Ldwadijcwt Erxeeflmiw,93.125,79.6,81.0,65.0,67.0,75.0
386,ptgllbrkz@school.edu,9686399639,Satudgymib Dxrgfahfy,80.0,83.0,86.0,81.0,64.0,72.0
387,copwcgxkfqu@school.edu,5437923819,Tpyqs Blbwvlhz,84.0,87.8,66.0,80.0,69.0,64.0
388,yzhfadlmwa@school.edu,1996298832,Dzndjd Icogyg,81.375,82.6,76.0,75.0,100.0,59.0
389,nxffb@school.edu,2629931544,Sftepzoqnw Tkbdbfwab,72.125,83.2,73.0,96.0,59.0,53.0
390,jykgrln@school.edu,6106689866,Ftstjkz Usgznn,85.125,77.2,71.0,81.0,56.0,96.0
391,levjvhnfw@school.edu,8927668309,Hxdhtewd Jbpvblxsks,84.25,78.8,66.0,81.0,82.0,84.0
392,exnnwissrn@school.edu,2133736828,Dipklkd Ouhgd,84.875,75.0,73.0,99.0,82.0,50.0
393,hqzsfweg@school.edu,6062527906,Lyilqwdky Nbfjs,83.625,78.8,84.0,70.0,65.0,63.0
394,dmbuab@school.edu,9467984594,Zojrojjfmw Ugunvalewb,82.875,85.2,66.0,67.0,92.0,74.0
395,uezphgpgbslxj@school.edu,3469212953,Tihfmikjgy Wusfv,79.25,68.6,66.0,54.0,50.0,84.0
396,nzzxkulhfjm@school.edu,7532416168,Bnapferh Omwjkcloi,80.875,80.2,51.0,58.0,80.0,70.0
397,gcysbuf@school.edu,4185236206,Devthkfbg Ogbqt,73.75,79.2,87.0,56.0,56.0,67.0
398,hqhvmny@school.edu,6692204593,Tlcrhv Xhiocfmeem,87.0,88.8,95.0,73.0,73.0,86.0
399,eifeqa@school.edu,9642376948,Wnztfiov Mgcpzebpbx,67.5,76.2,79.0,52.0,75.0,72.0
400,baxkutzwn@school.edu,1574251982,Hpdwj Qiaiu,82.25,76.0,89.0,57.0,54.0,61.0
401,eegiyuvl@school.edu,6580107929,Ebtwvguki Tcgbfzugcv,76.375,72.2,60.0,59.0,85.0,72.0
402,siiufbutg@school.edu,9914367809,Rudqvzyaog Ntuiyypel,79.25,87.6,87.0,82.0,85.0,74.0
403,zeroqicmmab@school.edu,4901317138,Aizdfcfm Zalff,81.375,78.6,58.0,86.0,90.0,53.0
404,zflpjlcug@school.edu,3704606147,Xuddwwaz Sjqaenmvc,67.75,75.4,72.0,89.0,87.0,70.0
405,tkwgo@school.edu,2348609533,Oxdnygnvk Jpbtrh,89.5,66.0,53.0,100.0,96.0,79.0
406,qwxvb@school.edu,5648583440,Pprtgmhnz Qpflpwfitu,81.375,89.8,95.0,96.0,61.0,66.0
407,xtytfz@school.edu,7117216464,Osudugqq Eoexciee,86.625,65.6,94.0,84.0,98.0,51.0
408,ffmhvvhw@school.edu,4383983656,Khckv Anhdkkye,82.5,76.0,55.0,81.0,58.0,62.0
409,qrydycl@school.edu,1798617880,Ahyasxi Fordyzks,73.375,76.4,72.0,95.0,55.0,99.0
410,efwcjleuhnb@school.edu,5929037705,Snraxjll Yxseiqv,80.875,89.4,82.0,100.0,55.0,84.0
411,rzpfhnmsrehil@school.edu,6115616252,Egqitibfma Cqxaq,82.75,83.4,93.0,60.0,61.0,79.0
412,pbxbxdhaxg@school.edu,2311921483,Ewqrj Qhurkres,83.375,79.8,61.0,58.0,85.0,76.0
413,addmnh@school.edu,2378475135,Fvktgeed Mmlrnl,76.0,81.0,66.0,84.0,81.0,59.0
414,irscaamrfm@school.edu,4567503337,Wwqxeozjr Bxqokls,78.0,84.2,87.0,67.0,76.0,91.0
415,denkmtkkts@school.edu,7061119849,Eboxtid Uxfxcmta,68.375,86.6,76.0,58.0,78.0,56.0
416,vqyvlxhjqgowh@school.edu,5945041326,Krmohawhuh Iqcau,79.5,75.4,62.0,91.0,61.0,93.0
417,uheynxsbj@school.edu,6877610494,Xnrttx Qzoedgi,78.875,79.6,53.0,63.0,71.0,97.0
418,wcdubrcskbh@school.edu,3677837369,Yxrulmcfp Ffgsghdy,75.375,75.4,76.0,63.0,62.0,56.0
419,ponsln@school.edu,1357026741,Kmpovzuaa Dawakp,85.625,68.6,63.0,81.0,99.0,94.0
420,pakktaynlitrx@school.edu,8180780705,Wvepuks Qafdlpgj,75.25,85.4,58.0,75.0,74.0,87.0
421,eyrjhxjs@school.edu,4609626600,Lwyhask Vfnbxegu,78.75,85.2,91.0,84.0,74.0,67.0
422,krkzxboqe@school.edu,4462187107,Ymwnmicj Lotqzpy,86.875,73.6,88.0,70.0,91.0,51.0
423,xhmvjvm@school.edu,6902010466,Yvrmiqdgle Ncdux,76.25,77.0,84.0,52.0,70.0,92.0
424,mpoaafpkj@school.edu,7661850107,Wtqwvo Qthgpg,78.375,69.8,94.0,88.0,77.0,66.0
425,rvqthytktzbzk@school.edu,5604601133,Uzqqbk Czixt,82.0,90.8,91.0,90.0,79.0,89.0
426,obpwp@school.edu,7321037876,Hbixbl Ixpepkxzi,76.125,76.6,87.0,66.0,54.0,98.0
427,nejfverumwiys@school.edu,4008008953,Dkjzssec Gydrz,81.5,69.4,92.0,76.0,64.0,70.0
428,pokulcnxzfv@school.edu,9139565869,Uuzpu Dsevrsirp,71.375,74.2,99.0,81.0,76.0,51.0
429,pbxhbtitqo@school.edu,6653797634,Guojenjwcj Bbsrill,81.875,79.8,93.0,52.0,53.0,60.0
430,moqpfkuethje@school.edu,7077530018,Yhwmoa Nhnny,78.0,78.4,90.0,72.0,58.0,73.0
431,qxcifggyy@school.edu,7067801638,Upwnkke Djtea,86.0,84.0,72.0,57.0,51.0,74.0
432,dguzfuc@school.edu,2332469809,Oizacohch Oynxvxaeqq,77.375,79.4,55.0,52.0,59.0,82.0
433,cospmjmsrbdk@school.edu,5219122508,Xkcjhlhlv Bwovwnqjn,79.125,80.0,65.0,79.0,56.0,77.0
434,xfuiclfio@school.edu,9650330024,Ufqrrgv Svtjate,78.125,74.4,63.0,96.0,67.0,69.0
435,ecouxmjfwzlp@school.edu,4602007624,Vvokbcyoe Aclghlt,80.375,77.0,66.0,97.0,77.0,99.0
436,wnyssasgzi@school.edu,6891665828,Dbcvoepl Faoncsmnkv,86.875,74.0,70.0,92.0,87.0,92.0
437,ewszh@school.edu,2340365931,Wizswg Xlzzw,80.375,72.6,59.0,90.0,98.0,95.0
438,vwgwp@school.edu,3175408418,Jhjfg Nwcfi,76.625,73.6,70.0,99.0,66.0,77.0
439,eiuhlzkceqdr@school.edu,7431170454,Ibhtxrflng Ndyiatf,70.375,78.4,69.0,59.0,61.0,100.0
440,zyoflkhpezuzg@school.edu,7215177132,Vgxwru Wyasw,83.125,81.2,72.0,57.0,53.0,50.0
441,pbdoynme@school.edu,3947868467,Djqbphwn Onovwiphwe,85.5,64.4,77.0,63.0,100.0,88.0
442,pmdgq@school.edu,3250624681,Ainncc Tmfpum,79.125,74.2,73.0,75.0,76.0,81.0
443,wkyqdmxyj@school.edu,1369531765,Vybwtdnr Xzqsyss,72.5,75.0,79.0,50.0,51.0,78.0
444,ahmuhewcts@school.edu,3498137068,Eznwp Pdjrirb,85.75,82.0,54.0,79.0,86.0,78.0
445,oendwrn@school.edu,9172674105,Lptgloyev Zqiaiwisog,75.375,81.2,84.0,81.0,99.0,57.0
446,dyroqimxlx@school.edu,8508314402,Cysoz Nejszgih,80.75,76.0,83.0,88.0,100.0,81.0
447,slfdasj@school.edu,3852307991,Ficispzcjq Uzwyjstbm,75.75,85.6,76.0,50.0,88.0,82.0
448,dsggabcw@school.edu,3163685630,Vgbeptehl Tvdslrgep,78.875,80.4,100.0,52.0,56.0,74.0
449,jcvkonsztaiu@school.edu,2471284962,Dfqxe Rcjpqzfpwa,83.0,84.2,68.0,92.0,71.0,86.0
450,iteimriohgk@school.edu,4181575810,Zylojjsyx Iaphakw,84.375,78.2,79.0,58.0,83.0,73.0
451,ixzuklo@school.edu,1650919265,Hxfssciq Aovhgck,80.25,90.8,59.0,77.0,81.0,53.0
452,wektyuh@school.edu,9585741565,Usyavtjt Owuaiica,88.125,74.2,55.0,52.0,71.0,80.0
453,gzqzbemsbim@school.edu,3673902550,Gqcqtaruzg Qyvxese,75.875,76.0,58.0,91.0,98.0,81.0
454,pguhpeerbkcwv@school.edu,5353810287,Sbjvzilp Eexuhh,84.0,79.2,70.0,54.0,81.0,96.0
455,nedmaatz@school.edu,6159169319,Qfrtzykss Uxjco,83.0,73.0,88.0,98.0,59.0,89.0
456,azzmtqikf@school.edu,8950964395,Bfpgraxjg Uwtdsfgfv,80.625,75.2,97.0,59.0,61.0,56.0
457,jdmlqwp@school.edu,6891852639,Kujvqifa Xdkilkijxg,65.625,69.2,79.0,70.0,94.0,86.0
458,jdosjwyyam@school.edu,6443716003,Vpvtn Bwihloa,71.125,82.2,84.0,84.0,84.0,70.0
459,tnwroyuvdtsa@school.edu,5914554448,Bhkuf Nrimrnbz,81.875,71.4,65.0,67.0,67.0,67.0
460,qilrob@school.edu,8226939123,Oxxwrec Bhvhbinki,83.0,76.8,67.0,94.0,74.0,80.0
461,hjkcq@school.edu,3525241612,Hlgncnsjz Ojgyaytg,86.625,84.2,55.0,78.0,80.0,94.0
462,nygerektaiq@school.edu,7260674592,Vlggrrvc Tcamqprpmg,78.25,82.2,93.0,69.0,70.0,80.0
463,zgdqisdl@school.edu,4954751839,Noydq Wfkcvvk,80.875,86.0,76.0,88.0,67.0,59.0
464,tgjzafxc@school.edu,1399854126,Maaxhboclo Naoki,78.375,81.4,62.0,60.0,78.0,73.0
465,weenqghmtnz@school.edu,9017142798,Syvqahsrap Lfzntx,75.625,68.2,75.0,66.0,68.0,65.0
466,strtnfbz@school.edu,4218450872,Hirliumwai Jsfwq,77.25,59.8,98.0,80.0,74.0,75.0
